,ad_id,pid,bad_design,boring,clickbait,deceptive,dislike_product,distasteful,entertaining,good_design,like_product,manipulative,politicized,simple,trustworthy,unclear,useful,overall_rating,free_response,ad_attitude,adblocker,political_affiliation
0,1466738,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,5,,3,Yes,other
1,1468744,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,3.0,5.0,0.0,3.0,6,,3,Yes,other
2,1470849,24,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3,,3,Yes,other
3,1473388,24,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2,,3,Yes,other
4,1477921,24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,The stock photos!!! Yikes!!! So generic.,3,Yes,other
5,1466412,26,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,3,Yes,democrat
6,1466641,26,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5,,3,Yes,democrat
7,1468744,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,6,,3,Yes,democrat
8,1471126,26,0.0,0.0,0.0,0.0,3.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,3,Yes,democrat
9,1477984,26,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,3,Yes,democrat
10,1462728,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,5,,2,Yes,democrat
11,1468744,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,5,,2,Yes,democrat
12,1472295,27,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4,,2,Yes,democrat
13,1473440,27,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4,,2,Yes,democrat
14,1473546,27,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4,,2,Yes,democrat
15,1463579,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,4,,3,No,democrat
16,1463785,29,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3,,3,No,democrat
17,1465660,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,5,,3,No,democrat
18,1466641,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5,,3,No,democrat
19,1467175,29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,3,No,democrat
20,1463579,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,4.0,3.0,5.0,6,,3,Yes,democrat
21,1465524,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,1.0,5.0,7,,3,Yes,democrat
22,1465673,30,0.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1,,3,Yes,democrat
23,1466641,30,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,6,,3,Yes,democrat
24,1477984,30,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2,,3,Yes,democrat
25,1466412,32,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,2,NotSure,democrat
26,1467175,32,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,,2,NotSure,democrat
27,1470849,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,6,,2,NotSure,democrat
28,1471126,32,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4,,2,NotSure,democrat
29,1472434,32,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,5,,2,NotSure,democrat
30,1462728,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,4,,2,Yes,democrat
31,1463579,33,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3,,2,Yes,democrat
32,1463785,33,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,2,Yes,democrat
33,1466779,33,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4,,2,Yes,democrat
34,1467549,33,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Just very generic,2,Yes,democrat
35,1463785,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3,,3,No,democrat
36,1464410,34,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,4,,3,No,democrat
37,1466641,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6,,3,No,democrat
38,1471126,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6,,3,No,democrat
39,1476817,34,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4,"I assume it's politicized, but would have to research - or at least click on ad to learn more. I don't like having to do this.",3,No,democrat
40,1461495,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,4,,4,No,independent
41,1463785,35,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3,,4,No,independent
42,1466641,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,5,,4,No,independent
43,1467945,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,4,No,independent
44,1480905,35,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,4,No,independent
45,1463837,36,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2,,2,Yes,independent
46,1465856,36,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,2,Yes,independent
47,1467945,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4,This ad is too colorful given how I expect the rest of the website to look.,2,Yes,independent
48,1474632,36,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,It's difficult to tell that this is an ad rather than a legitimate recommended article.,2,Yes,independent
49,1480905,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4,This ad is in a position that I expect.,2,Yes,independent
50,1462728,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,6,,1,Yes,democrat
51,1463579,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,1,Yes,democrat
52,1466779,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4,,1,Yes,democrat
53,1473546,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4,,1,Yes,democrat
54,1480905,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,1,Yes,democrat
55,1463837,38,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4,,2,Yes,independent
56,1465673,38,0.0,0.0,5.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2,,2,Yes,independent
57,1472295,38,5.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2,,2,Yes,independent
58,1478673,38,3.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3,,2,Yes,independent
59,1480523,38,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,6,,2,Yes,independent
60,1462442,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,6,,4,NotSure,democrat
61,1463785,39,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3,,4,NotSure,democrat
62,1475620,39,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,6,,4,NotSure,democrat
63,1478147,39,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5,,4,NotSure,democrat
64,1478986,39,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,,4,NotSure,democrat
65,1462728,40,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,4,Yes,democrat
66,1465856,41,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5,,1,Yes,republican
67,1469567,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4,,1,Yes,republican
68,1472186,41,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2,,1,Yes,republican
69,1475620,41,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,1,Yes,republican
70,1478147,41,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4,,1,Yes,republican
71,1462850,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,2,NotSure,democrat
72,1463579,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4,I don't know what NFM is,2,NotSure,democrat
73,1466738,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4,This doesn't make any sense,2,NotSure,democrat
74,1471126,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4,,2,NotSure,democrat
75,1474632,42,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,,2,NotSure,democrat
76,1467175,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,6,,2,Yes,democrat
77,1473546,43,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,6,,2,Yes,democrat
78,1476110,43,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2,,2,Yes,democrat
79,1478147,43,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2,,2,Yes,democrat
80,1478673,43,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4,,2,Yes,democrat
81,1462850,44,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5,,3,Yes,republican
82,1475583,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5,,3,Yes,republican
